UUID,Version,Name (en),Kategorie (en),Bezugseinheit,Modul,GWP,ODP,POCP,AP,EP,ADPE
fa5119d5-b0b8-4774-9c23-928f6894bd50,20.19.010,Electricity grid mix 2018,Building service engineering' / 'Use' / 'Use heat generator (EnEV),MJ,B6,0.53,0.00,0.00,0.00,0.00,0.00
a4fb9ec0-d5ae-414b-a0a1-2cf7f586022d,20.19.010,Precast concrete slab. ceiling. 40cm,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,A1-A3,169.40,0.00,0.01,0.24,0.04,0.00
3470c523-ffcd-48df-93ff-dedfde86572a,20.19.010,Precast concrete slab. wall. 40cm,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,A1-A3,129.99,0.00,0.00,0.18,0.03,0.00
ffff2074-fae0-4b5c-b801-af80f5ce633a,20.19.120,Cable CAT 7,Building service engineering' / 'Electrical' / 'Cable,m,A1-A3,0.30,0.00,0.00,0.00,0.00,0.00
ffff2074-fae0-4b5c-b801-af80f5ce633a,20.19.120,Cable CAT 7,Building service engineering' / 'Electrical' / 'Cable,m,C2,0.00,0.00,0.00,0.00,0.00,0.00
ffff2074-fae0-4b5c-b801-af80f5ce633a,20.19.120,Cable CAT 7,Building service engineering' / 'Electrical' / 'Cable,m,C3,0.05,0.00,0.00,0.00,0.00,0.00
ffff2074-fae0-4b5c-b801-af80f5ce633a,20.19.120,Cable CAT 7,Building service engineering' / 'Electrical' / 'Cable,m,D,-0.16,0.00,0.00,0.00,0.00,0.00
ffeaa284-6f4a-452d-81c9-de28ab3b1dd7,20.19.120,Electricity grid mix scenario 2040,Others' / 'Energy carrier - delivery free user' / 'Electricity,MJ,B6,0.41,0.00,0.00,0.00,0.00,0.00
fe0f74c9-6966-404a-807a-684095e09a4a,20.19.120,Car (Diesel) EURO 4,Others' / 'Passenger transport [person km]' / 'Passenger car,m,A4,0.17,0.00,0.00,0.00,0.00,0.00
fdcb26f9-1f0c-4766-ad94-c093e5d259e1,20.19.120,Pumping of concrete,Others' / 'Processes at building site' / 'Concreting,m3,A5,1.00,0.00,0.00,0.00,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,A1-A3,2.11,0.00,0.00,0.01,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,A5,0.03,0.00,0.01,0.00,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,C2,0.00,0.00,0.00,0.00,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,C4,0.02,0.00,0.00,0.00,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,D,-0.01,0.00,0.00,0.00,0.00,0.00
fbfe5992-4cd4-4875-867d-5e89cb453e2c,20.19.120,Pipework for electric heat pump (water-water) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,A1-A3,417.97,0.00,0.12,1.03,0.09,0.02
